"Day","Country","News","Actual","Projection","Previous","Volatilty"
"Thursday, December 17, 2015","South Africa ","PPI (MoM)  (Nov)","No Data","0.3%","0.9%","Low Volatility Expected"
"Thursday, December 17, 2015","Euro Zone ","Wages in euro zone (YoY)  (Q3)","No Data","No Data","1.90%","Moderate Volatility Expected"
"Thursday, December 17, 2015","Euro Zone ","Labor Cost Index (YoY)  (Q3)","No Data","No Data","1.60%","Low Volatility Expected"
"Thursday, December 17, 2015","Brazil ","IBC-Br Economic Activity  (Oct)","No Data","No Data","-0.50%","Low Volatility Expected"
"Thursday, December 17, 2015","United Kingdom ","CBI Industrial Trends Orders  (Dec)","No Data","-10","-11","Moderate Volatility Expected"
"Thursday, December 17, 2015","Brazil ","Unemployment Rate  (Nov)","No Data","8.0%","7.9%","Moderate Volatility Expected"
"Thursday, December 17, 2015","Russia ","Central Bank reserves (USD)","No Data","No Data","364.4B","Moderate Volatility Expected"
"Thursday, December 17, 2015","Russia ","Industrial Production (YoY)","No Data","-2.9%","-3.6%","Low Volatility Expected"
"Thursday, December 17, 2015","Russia ","Retail Sales (YoY)","No Data","-11.5%","-11.7%","Moderate Volatility Expected"
"Thursday, December 17, 2015","Russia ","Unemployment Rate  (Nov)","No Data","5.6%","5.5%","Moderate Volatility Expected"
"Thursday, December 17, 2015","United States ","Continuing Jobless Claims","No Data","No Data","2,243K","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","Current Account  (Q3)","No Data","-116.8B","-109.7B","Moderate Volatility Expected"
"Thursday, December 17, 2015","United States ","Initial Jobless Claims","No Data","271K","282K","Moderate Volatility Expected"
"Thursday, December 17, 2015","United States ","Jobless Claims 4-Week Avg.","No Data","No Data","270.75K","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","Philadelphia Fed Manufacturing Index  (Dec)","No Data","1.9","1.9","High Volatility Expected"
"Thursday, December 17, 2015","United States ","Philly Fed Business Conditions  (Dec)","No Data","No Data","43.4","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","Philly Fed CAPEX Index  (Dec)","No Data","No Data","25.90","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","Philly Fed Employment  (Dec)","No Data","No Data","2.6","Moderate Volatility Expected"
"Thursday, December 17, 2015","United States ","Philly Fed New Orders  (Dec)","No Data","No Data","-3.7","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","Philly Fed Prices Paid  (Dec)","No Data","No Data","-4.90","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","Bloomberg Consumer Confidence","No Data","No Data","40.1","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","CB Leading Index (MoM)  (Nov)","No Data","0.1%","0.6%","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","Natural Gas Storage","No Data","No Data","-76B","Low Volatility Expected"
"Thursday, December 17, 2015","United States ","5-Year TIPS Auction","No Data","No Data","0.305%","Low Volatility Expected"
"Friday, December 18, 2015","South Korea ","PPI (MoM)  (Nov)","No Data","No Data","-0.6%","Low Volatility Expected"
"Friday, December 18, 2015","South Korea ","PPI (YoY)  (Nov)","No Data","No Data","-4.5%","Low Volatility Expected"
"Friday, December 18, 2015","Brazil ","Long Term Interest Rate TJLP  (Q1)","No Data","7.50%","7.00%","Low Volatility Expected"
"Friday, December 18, 2015","New Zealand ","ANZ Business Confidence  (Dec)","No Data","No Data","14.6","Moderate Volatility Expected"
"Friday, December 18, 2015","New Zealand ","NBNZ Own Activity  (Dec)","No Data","No Data","32.0%","Low Volatility Expected"
"Friday, December 18, 2015","China ","House Prices (YoY)  (Nov)","No Data","No Data","0.1%","Low Volatility Expected"
"Friday, December 18, 2015","Japan ","Interest Rate Decision","No Data","0.10%","0.10%","Low Volatility Expected"
"Friday, December 18, 2015","Japan ","BoJ Press Conference","No Data","No Data","No Data","High Volatility Expected"
"Friday, December 18, 2015","France ","French Business Survey  (Dec)","No Data","101","102","Low Volatility Expected"
"Friday, December 18, 2015","France ","French PPI (MoM)  (Nov)","No Data","No Data","0.2%","Low Volatility Expected"
"Friday, December 18, 2015","Italy ","Italian Wage Inflation (YoY)  (Nov)","No Data","1.2%","1.2%","Low Volatility Expected"
"Friday, December 18, 2015","Italy ","Italian Wage Inflation (MoM)  (Nov)","No Data","0.1%","0.1%","Low Volatility Expected"
"Friday, December 18, 2015","Euro Zone ","Current Account  (Oct)","No Data","29.9B","29.4B","Low Volatility Expected"
"Friday, December 18, 2015","Euro Zone ","Current Account n.s.a.  (Oct)","No Data","No Data","33.1B","Low Volatility Expected"
"Friday, December 18, 2015","Euro Zone ","Net Investment Flow  (Oct)","No Data","No Data","-10.5B","Low Volatility Expected"
"Friday, December 18, 2015","Brazil ","IBC-Br Economic Activity  (Oct)","No Data","-0.50%","-0.50%","Low Volatility Expected"
"Friday, December 18, 2015","Brazil ","Mid-Month CPI (YoY)  (Dec)","No Data","10.62%","10.28%","Low Volatility Expected"
"Friday, December 18, 2015","Brazil ","Mid-Month CPI (MoM)  (Dec)","No Data","1.11%","0.85%","Low Volatility Expected"
"Friday, December 18, 2015","India ","FX Reserves, USD","No Data","No Data","352.10B","Low Volatility Expected"
"Friday, December 18, 2015","Russia ","PPI (YoY)","No Data","14.7%","14.2%","Low Volatility Expected"
"Friday, December 18, 2015","Russia ","PPI (MoM)","No Data","No Data","1.8%","Low Volatility Expected"
"Friday, December 18, 2015","Canada ","Core CPI (YoY)  (Nov)","No Data","2.3%","2.1%","Moderate Volatility Expected"
"Friday, December 18, 2015","Canada ","Core CPI (MoM)  (Nov)","No Data","-0.1%","0.3%","High Volatility Expected"
"Friday, December 18, 2015","Canada ","CPI (YoY)  (Nov)","No Data","1.5%","1.0%","Low Volatility Expected"
"Friday, December 18, 2015","Canada ","CPI (MoM)  (Nov)","No Data","0.1%","0.1%","Moderate Volatility Expected"
"Friday, December 18, 2015","Canada ","Wholesale Sales (MoM)  (Oct)","No Data","0.1%","-0.1%","Moderate Volatility Expected"
"Friday, December 18, 2015","United States ","Services PMI  (Dec)","No Data","56.1","56.1","Moderate Volatility Expected"
"Friday, December 18, 2015","United States ","ECRI Weekly Annualized (WoW)","No Data","No Data","-0.8%","Low Volatility Expected"
"Friday, December 18, 2015","United States ","ECRI Weekly Index","No Data","No Data","131.3","Low Volatility Expected"
"Friday, December 18, 2015","United States ","KC Fed Composite Index  (Dec)","No Data","No Data","1","Low Volatility Expected"
"Friday, December 18, 2015","United States ","KC Fed Manufacturing Index  (Dec)","No Data","No Data","3","Low Volatility Expected"
"Friday, December 18, 2015","United States ","Baker Hughes U.S. Rig Count","No Data","No Data","524","Moderate Volatility Expected"
"Saturday, December 19, 2015","United Kingdom ","CFTC GBP speculative net positions","No Data","No Data","-23.9K","Moderate Volatility Expected"
"Saturday, December 19, 2015","United States ","CFTC Copper speculative net positions","No Data","No Data","-34.2K","Low Volatility Expected"
"Saturday, December 19, 2015","United States ","CFTC Crude Oil speculative net positions","No Data","No Data","197.9K","Moderate Volatility Expected"
"Saturday, December 19, 2015","United States ","CFTC Gold speculative net positions","No Data","No Data","19.6K","Moderate Volatility Expected"
"Saturday, December 19, 2015","United States ","CFTC S&P 500 speculative net positions","No Data","No Data","-80.8K","Moderate Volatility Expected"
"Saturday, December 19, 2015","United States ","CFTC Silver speculative net positions","No Data","No Data","21.3K","Low Volatility Expected"
"Saturday, December 19, 2015","Canada ","CFTC CAD speculative net positions","No Data","No Data","-40.1K","Low Volatility Expected"
"Saturday, December 19, 2015","Switzerland ","CFTC CHF speculative net positions","No Data","No Data","-25.5K","Low Volatility Expected"
"Saturday, December 19, 2015","Australia ","CFTC AUD speculative net positions","No Data","No Data","-33.6K","Moderate Volatility Expected"
"Saturday, December 19, 2015","Japan ","CFTC JPY speculative net positions","No Data","No Data","-68.1K","Moderate Volatility Expected"
"Saturday, December 19, 2015","New Zealand ","CFTC NZD speculative net positions","No Data","No Data","8.9K","Low Volatility Expected"
"Saturday, December 19, 2015","Russia ","CFTC RUB speculative positions","No Data","No Data","0.1K","Moderate Volatility Expected"
"Saturday, December 19, 2015","Euro Zone ","CFTC EUR speculative net positions","No Data","No Data","-172.3K","Moderate Volatility Expected"
"Monday, December 21, 2015","New Zealand ","External Migration & Visitors  (Nov)","No Data","No Data","8.90%","Low Volatility Expected"
"Monday, December 21, 2015","New Zealand ","Permanent/Long-Term Migration  (Nov)","No Data","No Data","6,210","Low Volatility Expected"
"Monday, December 21, 2015","Germany ","German PPI (MoM)  (Nov)","No Data","No Data","-0.4%","Moderate Volatility Expected"
"Monday, December 21, 2015","Germany ","German PPI (YoY)  (Nov)","No Data","No Data","-2.3%","Low Volatility Expected"
"Monday, December 21, 2015","Hong Kong ","CPI (YoY)  (Nov)","No Data","No Data","2.40%","Low Volatility Expected"
"Monday, December 21, 2015","United Kingdom ","CBI Distributive Trades Survey  (Dec)","No Data","No Data","7","Low Volatility Expected"
"Monday, December 21, 2015","Brazil ","Current Account (USD)  (Nov)","No Data","No Data","-4.17B","Low Volatility Expected"
"Monday, December 21, 2015","Brazil ","Foreign direct investment (USD)  (Nov)","No Data","No Data","6.71B","Low Volatility Expected"
"Monday, December 21, 2015","United States ","Chicago Fed National Activity  (Nov)","No Data","No Data","-0.04","Low Volatility Expected"
"Monday, December 21, 2015","Euro Zone ","Consumer Confidence  (Dec)","No Data","No Data","-6.0","Low Volatility Expected"
"Tuesday, December 22, 2015","United Kingdom ","GfK Consumer Confidence  (Dec)","No Data","No Data","1","Low Volatility Expected"
"Tuesday, December 22, 2015","Switzerland ","Trade Balance  (Nov)","No Data","No Data","4.156B","Low Volatility Expected"
"Tuesday, December 22, 2015","Germany ","GfK German Consumer Climate  (Jan)","No Data","No Data","9.3","Moderate Volatility Expected"
"Tuesday, December 22, 2015","Italy ","Italian Trade Balance Non-EU  (Nov)","No Data","No Data","3.53B","Low Volatility Expected"
"Tuesday, December 22, 2015","United Kingdom ","Public Sector Net Borrowing  (Nov)","No Data","No Data","7.47B","Low Volatility Expected"
"Tuesday, December 22, 2015","United Kingdom ","Public Sector Net Cash Requirement  (Nov)","No Data","No Data","-3.997B","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","Core PCE Prices  (Q3)","No Data","No Data","1.30%","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","Corporate Profits (QoQ)  (Q3)","No Data","1.3%","-1.6%","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","GDP (QoQ)  (Q3)","No Data","2.1%","2.1%","High Volatility Expected"
"Tuesday, December 22, 2015","United States ","GDP Price Index (QoQ)  (Q3)","No Data","1.3%","1.3%","Moderate Volatility Expected"
"Tuesday, December 22, 2015","United States ","GDP Sales  (Q3)","No Data","3.0%","2.7%","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","PCE Prices  (Q3)","No Data","No Data","1.3%","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","Real Consumer Spending  (Q3)","No Data","No Data","3.0%","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","House Price Index (YoY)  (Oct)","No Data","No Data","6.1%","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","House Price Index (MoM)  (Oct)","No Data","No Data","0.8%","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","House Price Index  (Oct)","No Data","No Data","226.5","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","Existing Home Sales  (Nov)","No Data","5.42M","5.36M","High Volatility Expected"
"Tuesday, December 22, 2015","United States ","Existing Home Sales (MoM)  (Nov)","No Data","1.6%","-3.4%","Moderate Volatility Expected"
"Tuesday, December 22, 2015","United States ","Richmond Manufacturing Index  (Dec)","No Data","No Data","-3","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","Richmond Manufacturing Shipments  (Dec)","No Data","No Data","-2","Low Volatility Expected"
"Tuesday, December 22, 2015","United States ","Richmond Services Index  (Dec)","No Data","No Data","-1","Low Volatility Expected"
"Wednesday, December 23, 2015","New Zealand ","Exports  (Nov)","No Data","No Data","3.83B","Low Volatility Expected"
"Wednesday, December 23, 2015","New Zealand ","Imports  (Nov)","No Data","No Data","4.79B","Low Volatility Expected"
"Wednesday, December 23, 2015","New Zealand ","Trade Balance (MoM)  (Nov)","No Data","No Data","-963M","Moderate Volatility Expected"
"Wednesday, December 23, 2015","New Zealand ","Trade Balance (YoY)  (Nov)","No Data","No Data","-3,240M","Moderate Volatility Expected"
"Wednesday, December 23, 2015","Singapore ","CPI (YoY)  (Nov)","No Data","No Data","-0.8%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","France ","French Consumer Spending (MoM)  (Nov)","No Data","No Data","-0.7%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","France ","French GDP (QoQ)  (Q3)","No Data","No Data","0.3%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","Switzerland ","KOF Leading Indicators  (Dec)","No Data","No Data","97.9","Moderate Volatility Expected"
"Wednesday, December 23, 2015","Italy ","Italian Industrial New Orders (YoY)  (Oct)","No Data","No Data","-0.8%","Low Volatility Expected"
"Wednesday, December 23, 2015","Italy ","Italian Industrial New Orders (MoM)  (Oct)","No Data","No Data","-2.0%","Low Volatility Expected"
"Wednesday, December 23, 2015","Italy ","Italian Industrial Sales (YoY)  (Oct)","No Data","No Data","-0.90%","Low Volatility Expected"
"Wednesday, December 23, 2015","Italy ","Italian Industrial Sales (MoM)  (Oct)","No Data","No Data","-0.10%","Low Volatility Expected"
"Wednesday, December 23, 2015","United Kingdom ","Business Investment (QoQ)  (Q3)","No Data","No Data","2.2%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United Kingdom ","Business Investment (YoY)  (Q3)","No Data","No Data","6.6%","Low Volatility Expected"
"Wednesday, December 23, 2015","United Kingdom ","Current Account  (Q3)","No Data","No Data","-16.8B","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United Kingdom ","GDP (YoY)  (Q3)","No Data","2.3%","2.3%","High Volatility Expected"
"Wednesday, December 23, 2015","United Kingdom ","GDP (QoQ)  (Q3)","No Data","0.5%","0.5%","High Volatility Expected"
"Wednesday, December 23, 2015","Italy ","Italian Retail Sales (MoM)  (Oct)","No Data","No Data","-0.1%","Low Volatility Expected"
"Wednesday, December 23, 2015","Italy ","Italian Retail Sales (YoY)  (Oct)","No Data","No Data","1.5%","Low Volatility Expected"
"Wednesday, December 23, 2015","Brazil ","FGV Consumer confidence  (Dec)","No Data","No Data","76.7","Low Volatility Expected"
"Wednesday, December 23, 2015","India ","M3 Money Supply  (2wk)","No Data","No Data","10.7%","Low Volatility Expected"
"Wednesday, December 23, 2015","Brazil ","Bank lending (MoM)  (Nov)","No Data","No Data","-0.1%","Low Volatility Expected"
"Wednesday, December 23, 2015","United States ","Core Durable Goods Orders (MoM)  (Nov)","No Data","0.3%","0.5%","High Volatility Expected"
"Wednesday, December 23, 2015","United States ","Core PCE Price Index (MoM)  (Nov)","No Data","0.1%","No Data","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","Core PCE Price Index (YoY)  (Nov)","No Data","No Data","1.3%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","Durable Goods Orders (MoM)  (Nov)","No Data","-0.5%","2.9%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","Durables Excluding Defense (MoM)  (Nov)","No Data","0.3%","3.1%","Low Volatility Expected"
"Wednesday, December 23, 2015","United States ","Goods Orders Non Defense Ex Air (MoM)  (Nov)","No Data","0.2%","1.3%","Low Volatility Expected"
"Wednesday, December 23, 2015","United States ","Personal Income (MoM)  (Nov)","No Data","0.2%","0.4%","Low Volatility Expected"
"Wednesday, December 23, 2015","United States ","Personal Spending (MoM)  (Nov)","No Data","0.3%","0.1%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","Real Personal Consumption (MoM)  (Nov)","No Data","No Data","0.1%","Low Volatility Expected"
"Wednesday, December 23, 2015","Canada ","Core Retail Sales (MoM)  (Oct)","No Data","No Data","-0.5%","High Volatility Expected"
"Wednesday, December 23, 2015","Canada ","GDP (MoM)  (Oct)","No Data","No Data","-0.5%","High Volatility Expected"
"Wednesday, December 23, 2015","Canada ","Retail Sales (MoM)  (Oct)","No Data","No Data","-0.5%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","Michigan 5-Year Inflation Expectations  (Dec)","No Data","No Data","2.60%","Low Volatility Expected"
"Wednesday, December 23, 2015","United States ","Michigan Consumer Expectations  (Dec)","No Data","No Data","82.0","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","Michigan Consumer Sentiment  (Dec)","No Data","93.5","91.8","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","Michigan Current Conditions  (Dec)","No Data","104.5","107.0","Low Volatility Expected"
"Wednesday, December 23, 2015","United States ","Michigan Inflation Expectations  (Dec)","No Data","No Data","2.6%","Low Volatility Expected"
"Wednesday, December 23, 2015","United States ","New Home Sales (MoM)  (Nov)","No Data","1.5%","10.7%","Moderate Volatility Expected"
"Wednesday, December 23, 2015","United States ","New Home Sales  (Nov)","No Data","500K","495K","High Volatility Expected"
"Wednesday, December 23, 2015","United States ","Dallas Fed PCE  (Nov)","No Data","No Data","1.30%","Low Volatility Expected"
